Path,Class,Spectrogram
Data/Audio/Male/PTDB-TUG/mic_M02_si695.wav,Male-PTDB-TUG,"[[2.3436679e-03 1.3555340e-03 5.1201284e-03 ... 4.9796718e-04
  6.5853725e-05 3.4612074e-04]
 [8.9106392e-03 9.0031233e-03 1.2050557e-02 ... 1.2956584e-03
  4.7322598e-04 7.1740261e-04]
 [1.9810103e-02 2.4289461e-02 1.5783051e-02 ... 2.2466378e-03
  1.1893763e-03 7.9504133e-04]
 ...
 [9.3466957e-04 8.2807505e-04 1.2393664e-05 ... 5.6302208e-05
  1.3365571e-06 6.8359848e-05]
 [1.1838167e-03 8.7528379e-04 1.1412442e-05 ... 5.8019225e-05
  3.4017628e-06 7.5340140e-05]
 [6.4108695e-04 4.4731612e-04 5.3924514e-06 ... 2.9100480e-05
  2.1411174e-06 3.9275405e-05]]"
Data/Audio/Male/PTDB-TUG/mic_M09_si1974.wav,Male-PTDB-TUG,"[[1.92600943e-04 1.52387319e-03 3.39222199e-04 ... 4.22519213e-03
  6.93339575e-03 3.78613942e-03]
 [8.97701364e-04 3.39811505e-03 1.41074706e-03 ... 9.71204229e-03
  1.57127883e-02 8.34969990e-03]
 [2.15739897e-03 4.38114442e-03 3.44322203e-03 ... 1.27127999e-02
  2.02882811e-02 1.02541447e-02]
 ...
 [2.79819273e-04 1.15422145e-05 1.10894885e-04 ... 4.78541770e-04
  1.20453052e-07 1.79375129e-05]
 [2.98839819e-04 6.66613050e-06 8.74128382e-05 ... 5.82155539e-04
  1.90861101e-06 1.39327240e-05]
 [1.52439141e-04 2.51271467e-06 3.95590250e-05 ... 3.10865231e-04
  1.70497651e-06 6.19768116e-06]]"
Data/Audio/Male/PTDB-TUG/mic_M03_si1016.wav,Male-PTDB-TUG,"[[3.41790169e-03 7.70970888e-04 4.31374880e-04 ... 2.03219504e-04
  4.55822505e-04 6.32830290e-03]
 [9.29410383e-03 2.73671211e-03 3.59851937e-03 ... 3.60033987e-03
  1.65799027e-03 1.29805254e-02]
 [1.52361356e-02 5.24125760e-03 9.59792640e-03 ... 1.17017813e-02
  3.40590067e-03 1.37922186e-02]
 ...
 [2.25282769e-04 6.41590377e-05 1.32143396e-04 ... 6.28302296e-05
  3.56849487e-04 2.28886041e-04]
 [2.81882996e-04 1.06203195e-04 1.96463923e-04 ... 7.98466936e-05
  4.28368774e-04 1.63885677e-04]
 [1.51551096e-04 6.19862330e-05 1.11342080e-04 ... 4.31959270e-05
  2.27807439e-04 6.76947311e-05]]"
Data/Audio/Male/PTDB-TUG/mic_M04_si1067.wav,Male-PTDB-TUG,"[[7.35859992e-03 1.19727862e-03 2.86213169e-03 ... 1.02915037e-02
  3.53405345e-03 1.26461289e-03]
 [1.50362235e-02 3.22095258e-03 5.75972255e-03 ... 2.10725665e-02
  9.37346648e-03 8.50191340e-03]
 [1.57101993e-02 5.05788857e-03 5.76057332e-03 ... 2.20404267e-02
  1.46853467e-02 2.28683185e-02]
 ...
 [9.04805074e-06 2.24311370e-04 4.31744456e-06 ... 8.55584003e-05
  5.49016222e-05 1.28258122e-04]
 [9.54604093e-06 2.29119803e-04 3.34335618e-06 ... 1.05481507e-04
  1.71228621e-05 1.01994076e-04]
 [5.41328063e-06 1.14956019e-04 1.32787216e-06 ... 5.63726535e-05
  1.71373665e-06 4.63504402e-05]]"
Data/Audio/Male/PTDB-TUG/mic_M08_si1876.wav,Male-PTDB-TUG,"[[1.10174259e-02 7.12833088e-03 5.43960137e-04 ... 4.85867681e-03
  1.74664054e-03 1.59354640e-05]
 [2.31548399e-02 2.54419837e-02 9.30322800e-03 ... 1.08247176e-02
  1.05789704e-02 1.32333429e-03]
 [2.57171597e-02 5.50212227e-02 3.04189529e-02 ... 1.33548854e-02
  2.83986740e-02 4.99762967e-03]
 ...
 [1.51115855e-05 7.59290066e-04 5.62690220e-05 ... 2.28482677e-04
  2.20210262e-04 2.39969813e-04]
 [3.60134509e-05 7.65217585e-04 2.21865648e-05 ... 3.55459691e-04
  6.26242036e-05 1.82540316e-04]
 [2.60778488e-05 3.82607919e-04 4.41530801e-06 ... 2.03332573e-04
  8.69337953e-07 7.91452330e-05]]"
Data/Audio/Male/PTDB-TUG/mic_M06_si1532.wav,Male-PTDB-TUG,"[[4.8026009e-03 1.0627861e-02 2.6580863e-04 ... 4.8606154e-03
  1.6708374e-02 1.9358724e-02]
 [9.8253321e-03 3.1432334e-02 7.0327111e-03 ... 1.5079724e-02
  3.6264129e-02 4.2531814e-02]
 [9.8603033e-03 5.6779809e-02 2.2220531e-02 ... 2.8478492e-02
  4.3462098e-02 5.2934181e-02]
 ...
 [6.1558676e-04 4.0904753e-04 9.7799006e-05 ... 2.5444888e-04
  9.8369841e-04 5.4531859e-04]
 [6.4700266e-04 4.2276355e-04 5.1888692e-05 ... 2.5461946e-04
  1.0660948e-03 5.2280509e-04]
 [3.2948880e-04 2.1405128e-04 1.7287741e-05 ... 1.2745653e-04
  5.4761424e-04 2.5639127e-04]]"
Data/Audio/Male/PTDB-TUG/mic_M03_si944.wav,Male-PTDB-TUG,"[[3.90011119e-05 5.77226019e-05 7.36949826e-03 ... 3.02688393e-04
  1.13779353e-03 5.58210195e-06]
 [3.67313187e-04 1.90189341e-04 1.54431472e-02 ... 6.18210412e-04
  2.40371726e-03 1.77641690e-03]
 [1.05411478e-03 4.08664375e-04 1.72943454e-02 ... 6.14443445e-04
  2.72451667e-03 6.03052415e-03]
 ...
 [3.17263002e-05 6.98413860e-05 8.09552585e-05 ... 1.01638523e-06
  1.00821744e-04 4.97015535e-05]
 [1.62285069e-05 6.60290170e-05 5.21099682e-05 ... 1.39196152e-06
  1.01094571e-04 4.99179769e-05]
 [5.20367985e-06 3.23291388e-05 2.12500345e-05 ... 8.72738838e-07
  5.06134274e-05 2.48947963e-05]]"
Data/Audio/Male/PTDB-TUG/mic_M04_si1104.wav,Male-PTDB-TUG,"[[9.9662477e-03 1.8011546e-02 7.0508672e-03 ... 1.6238446e-03
  4.8916885e-03 7.8037111e-03]
 [1.8758163e-02 4.9009174e-02 1.6032629e-02 ... 1.3571258e-02
  1.0985979e-02 1.6988451e-02]
 [1.5355337e-02 8.0975205e-02 2.0861261e-02 ... 3.8817115e-02
  1.4430466e-02 2.0452099e-02]
 ...
 [1.4108456e-04 4.4618959e-05 1.8345081e-05 ... 3.8073838e-04
  4.3172848e-05 3.6842443e-04]
 [8.7086730e-05 2.9321265e-05 1.0566789e-05 ... 4.5202349e-04
  5.3896118e-05 4.2350381e-04]
 [3.3189302e-05 1.0852083e-05 4.0516165e-06 ... 2.4003076e-04
  2.9134902e-05 2.2180589e-04]]"
Data/Audio/Male/PTDB-TUG/mic_M10_si2313.wav,Male-PTDB-TUG,"[[5.3364551e-04 6.8884197e-04 9.1813883e-04 ... 1.0090643e-03
  8.6748542e-04 2.4985191e-03]
 [1.6761271e-03 3.1736251e-03 2.0535265e-03 ... 2.6162209e-03
  2.4209935e-03 5.5805440e-03]
 [3.1798806e-03 7.7106464e-03 2.7333237e-03 ... 4.0392959e-03
  4.0311674e-03 7.1833250e-03]
 ...
 [1.2741402e-05 9.5521122e-05 3.3380624e-05 ... 6.1029194e-05
  3.6042216e-05 2.7300246e-05]
 [5.6677159e-06 9.5501840e-05 2.8604485e-05 ... 1.9430656e-05
  1.0637545e-05 4.5397264e-05]
 [1.6430354e-06 4.7669146e-05 1.3542665e-05 ... 9.2551613e-07
  1.6693157e-07 2.6522763e-05]]"
Data/Audio/Male/PTDB-TUG/mic_M03_si907.wav,Male-PTDB-TUG,"[[1.20679173e-03 5.85840689e-03 1.36336442e-02 ... 2.16835435e-03
  5.12299547e-03 9.65302868e-04]
 [6.70167245e-03 1.25997709e-02 2.93672904e-02 ... 5.18369768e-03
  1.08181285e-02 3.09196836e-03]
 [1.69607159e-02 1.44482870e-02 3.48045081e-02 ... 7.01629976e-03
  1.20317964e-02 6.01519551e-03]
 ...
 [1.10484143e-04 1.80405459e-06 3.38379286e-05 ... 2.02877462e-04
  2.29245357e-04 2.35913089e-04]
 [1.16470015e-04 3.27047218e-07 3.99305718e-05 ... 2.82479305e-04
  3.01155291e-04 2.89298856e-04]
 [5.93044315e-05 1.04721725e-08 2.07397443e-05 ... 1.56892842e-04
  1.64718193e-04 1.54980502e-04]]"
Data/Audio/Male/PTDB-TUG/mic_M03_si918.wav,Male-PTDB-TUG,"[[1.5229186e-03 4.6450063e-04 2.6208588e-03 ... 6.8304898e-06
  1.1284301e-03 1.3128666e-03]
 [3.7050801e-03 2.6538605e-03 5.2280775e-03 ... 1.0894736e-04
  5.4600770e-03 4.3214797e-03]
 [5.3985547e-03 7.2220410e-03 5.0824019e-03 ... 4.0276506e-04
  1.3643724e-02 8.2867723e-03]
 ...
 [8.3902050e-06 4.5147619e-05 7.6053228e-05 ... 1.2766659e-04
  2.3854096e-04 2.2143380e-04]
 [1.8776873e-05 6.7809648e-05 6.6024819e-05 ... 1.5356543e-04
  2.9543042e-04 2.3938628e-04]
 [1.1709473e-05 3.8762420e-05 3.1601161e-05 ... 8.1684848e-05
  1.5851774e-04 1.2258315e-04]]"
